"GRIDCODE,N,10,0","X_COORD,N,18,5","Y_COORD,N,18,5","AllTaxa,N,19,11","AllNorm,N,19,11","CoastNorm,N,19,11","OceanNorm,N,19,11"
435,56,-19.73712,1429.35142982,0.439876024,0.295469924,0.608349808
436,64,-19.73712,919.3746782,0.354836437,0.164757131,0.576595627
437,72,-19.73712,98.33333333,0.264247567,0.033133253,0.533880934
438,80,-19.73712,92.4357593258,0.246812511,0.033133253,0.496104979
439,88,-19.73712,95.8211607423,0.251853078,0.033133253,0.507026207
440,96,-19.73712,97.0292510161,0.262535468,0.033133253,0.530171386
441,104,-19.73712,103.038803725,0.281770164,0.045618247,0.557280733
442,112,-19.73712,1466.28986726,0.520592953,0.416069924,0.642536487
443,120,-19.73712,2093.363636,0.543560166,0.482657597,0.614613165
446,144,-19.73712,2449.53057902,0.579157439,0.553875386,0.608653167
447,152,-19.73712,2228.730392,0.615832728,0.526505345,0.720048008
448,160,-19.73712,1477.29851537,0.508145827,0.35341389,0.688666421
449,168,-19.73712,1834.27005832,0.505599182,0.383312754,0.648266681
450,176,-19.73712,1828.99222606,0.426970166,0.251684937,0.6314696
451,-176,-28.54919,422.4519061,0.316963777,0.056752718,0.620543346
452,-168,-28.54919,99.4787804047,0.275302285,0.016326531,0.577440666
453,-160,-28.54919,95.6499000657,0.249841312,0.012244898,0.527037129
454,-152,-28.54919,107.761092897,0.254862852,0.015180319,0.534492474
455,-144,-28.54919,392.987798742,0.257102205,0.040049266,0.510330634
456,-136,-28.54919,110.191219826,0.249183053,0.016403411,0.520759302
457,-128,-28.54919,402.058283708,0.260112606,0.036616993,0.520857487
458,-120,-28.54919,131.202334828,0.239509795,0.018437238,0.497427779
459,-112,-28.54919,410.6197991,0.241398899,0.034692528,0.482556333
460,-104,-28.54919,88,0.221217885,0.008202512,0.46973582
461,-96,-28.54919,86.4445834343,0.213380922,0.010949765,0.449550605
462,-88,-28.54919,188.381633722,0.256026045,0.031800361,0.517622675
463,-80,-28.54919,198.816708289,0.260186451,0.026936335,0.532311586
464,-72,-28.54919,367.65434767,0.281014092,0.085145271,0.509527717
467,-48,-28.54919,335.0125,0.440972011,0.188687804,0.735303585
468,-40,-28.54919,152,0.369791521,0.117386955,0.664263514
469,-32,-28.54919,105.33333333,0.277729674,0.026103518,0.571293521
470,-24,-28.54919,97.5,0.262883195,0.016566627,0.550252525
471,-16,-28.54919,98.6,0.265641026,0.02244898,0.549365079
472,-8,-28.54919,97,0.258608059,0.026530612,0.529365079
473,0,-28.54919,107,0.283803376,0.026530612,0.583954934
474,8,-28.54919,122.4,0.333377264,0.031985871,0.685000555
475,16,-28.54919,450.2666667,0.396225285,0.136514862,0.699220779
477,32,-28.54919,2227.83587219,0.572972704,0.380991102,0.796951241
478,40,-28.54919,1051.39954987,0.502495751,0.282065472,0.75966441
479,48,-28.54919,1153.0576168,0.447191633,0.232054335,0.698185148
480,56,-28.54919,114,0.308037613,0.036748033,0.624542125
481,64,-28.54919,108,0.287879353,0.030185151,0.588522589
482,72,-28.54919,102.66666667,0.28276545,0.020648259,0.588568839
483,80,-28.54919,100.430494794,0.275070891,0.012244898,0.581701217
484,88,-28.54919,101,0.278773715,0.020648259,0.57992008
485,96,-28.54919,102.821301651,0.278496103,0.027477145,0.571351554
486,104,-28.54919,106,0.290154642,0.028811525,0.595054945
487,112,-28.54919,1248.3548387,0.595483672,0.472938351,0.738453213
489,128,-28.54919,281.367939097,0.303561308,0.24059774,0.377018805
492,152,-28.54919,2236.37049634,0.629123982,0.521446641,0.754747547
493,160,-28.54919,1220.2314815,0.465687026,0.212999182,0.76048951
494,168,-28.54919,510.9512195,0.43443538,0.184797241,0.725679876
495,176,-28.54919,147,0.343889061,0.053545742,0.682622933
496,-176,-38.20473,115.628404274,0.279715454,0.039451422,0.560023491
497,-168,-38.20473,92.7865909236,0.22500609,0.015031397,0.469976565
498,-160,-38.20473,87.8182180293,0.223502232,0.008163265,0.474731026
499,-152,-38.20473,82.7777635003,0.213677454,0.008163265,0.453444007
500,-144,-38.20473,81.8543666325,0.206880865,0.008163265,0.438718065
501,-136,-38.20473,79.0037035048,0.198380356,0.008163265,0.420300295
502,-128,-38.20473,79.1283807205,0.193679421,0.008163265,0.410114936
503,-120,-38.20473,75.2062055976,0.175722769,0.004081633,0.375970761
504,-112,-38.20473,75.4096892693,0.188058349,0.004081633,0.402697852
505,-104,-38.20473,74.2422134819,0.185656538,0.004081633,0.397493927
506,-96,-38.20473,75.1344485838,0.188843421,0.004081633,0.40439884
507,-88,-38.20473,75.9694836163,0.196112741,0.018367347,0.403482368
508,-80,-38.20473,170.090147413,0.217277899,0.028611882,0.437388252
509,-72,-38.20473,308.679693801,0.203506048,0.076215385,0.352011821
510,-64,-38.20473,213.563400459,0.203227201,0.085443328,0.340641719
511,-56,-38.20473,397.7205882,0.319096413,0.126145514,0.544205794
512,-48,-38.20473,156.5,0.374362176,0.114089482,0.678013653
